Post Title,Old Production URL,Old Path,Old Slug,WordPress Post ID,WordPress Slug,Intended Production URL,Match Status,Notes
For the Kid Who Always Asks Why: Science Books That Feel Like Real Adventures,https://www.braveheartspublishing.com/blog/science-books-for-kids-that-feel-like-adventures/,/blog/science-books-for-kids-that-feel-like-adventures/,science-books-for-kids-that-feel-like-adventures,84,science-books-for-kids-that-feel-like-adventures,https://www.braveheartspublishing.com/blog/science-books-for-kids-that-feel-like-adventures/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
From Dog Man to Magic Tree House: The Reading Roadmap No One Gave You,https://www.braveheartspublishing.com/blog/dog-man-to-magic-tree-house-reading-roadmap/,/blog/dog-man-to-magic-tree-house-reading-roadmap/,dog-man-to-magic-tree-house-reading-roadmap,56,dog-man-to-magic-tree-house-reading-roadmap,https://www.braveheartspublishing.com/blog/dog-man-to-magic-tree-house-reading-roadmap/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
Adventures of Charlotte & Henry Just Got a Kirkus Review. Here’s What They Said.,https://www.braveheartspublishing.com/blog/kirkus-review-adventures-of-charlotte-and-henry/,/blog/kirkus-review-adventures-of-charlotte-and-henry/,kirkus-review-adventures-of-charlotte-and-henry,72,kirkus-review-adventures-of-charlotte-and-henry,https://www.braveheartspublishing.com/blog/kirkus-review-adventures-of-charlotte-and-henry/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
What to Read After Dog Man: Bridge Books for Kids Who Love Graphic Novels,https://www.braveheartspublishing.com/blog/what-to-read-after-dog-man/,/blog/what-to-read-after-dog-man/,what-to-read-after-dog-man,96,what-to-read-after-dog-man,https://www.braveheartspublishing.com/blog/what-to-read-after-dog-man/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
The Best Books for 7-Year-Olds That Turn Them Into Readers,https://www.braveheartspublishing.com/blog/best-books-for-7-year-olds/,/blog/best-books-for-7-year-olds/,best-books-for-7-year-olds,28,best-books-for-7-year-olds,https://www.braveheartspublishing.com/blog/best-books-for-7-year-olds/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
The Best Summer Reading Books for Kids Ages 6–9 (That They’ll Actually Finish),https://www.braveheartspublishing.com/blog/best-summer-reading-books-for-kids-ages-6-9/,/blog/best-summer-reading-books-for-kids-ages-6-9/,best-summer-reading-books-for-kids-ages-6-9,38,best-summer-reading-books-for-kids-ages-6-9,https://www.braveheartspublishing.com/blog/best-summer-reading-books-for-kids-ages-6-9/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
8 Books Like Magic Tree House Your Kids Will Love Just as Much,https://www.braveheartspublishing.com/blog/books-like-magic-tree-house/,/blog/books-like-magic-tree-house/,books-like-magic-tree-house,46,books-like-magic-tree-house,https://www.braveheartspublishing.com/blog/books-like-magic-tree-house/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
The Gap Between Picture Books and Chapter Books Is Real — Here’s What Goes There,https://www.braveheartspublishing.com/blog/gap-between-picture-books-and-chapter-books/,/blog/gap-between-picture-books-and-chapter-books/,gap-between-picture-books-and-chapter-books,64,gap-between-picture-books-and-chapter-books,https://www.braveheartspublishing.com/blog/gap-between-picture-books-and-chapter-books/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
Charlotte Is Real. Henry Is Real. And This Is Why I Wrote Them a Book.,https://www.braveheartspublishing.com/blog/why-i-wrote-this-book/,/blog/why-i-wrote-this-book/,why-i-wrote-this-book,98,why-i-wrote-this-book,https://www.braveheartspublishing.com/blog/why-i-wrote-this-book/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
I Spent Two Years Picking the Wrong Books for Kids. Then I Found their Lexile Scores.,https://www.braveheartspublishing.com/blog/finding-right-books-with-lexile-score/,/blog/finding-right-books-with-lexile-score/,finding-right-books-with-lexile-score,58,finding-right-books-with-lexile-score,https://www.braveheartspublishing.com/blog/finding-right-books-with-lexile-score/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
10 Mount Everest Facts for Kids That Will Make Their Jaw Drop,https://www.braveheartspublishing.com/blog/mount-everest-facts-for-kids/,/blog/mount-everest-facts-for-kids/,mount-everest-facts-for-kids,76,mount-everest-facts-for-kids,https://www.braveheartspublishing.com/blog/mount-everest-facts-for-kids/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
Bridge Books for Struggling Readers: The Parent’s Complete Roadmap,https://www.braveheartspublishing.com/blog/bridge-books-for-struggling-readers/,/blog/bridge-books-for-struggling-readers/,bridge-books-for-struggling-readers,54,bridge-books-for-struggling-readers,https://www.braveheartspublishing.com/blog/bridge-books-for-struggling-readers/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
My Child Hates Reading: What Actually Works,https://www.braveheartspublishing.com/blog/my-child-hates-reading-what-to-do/,/blog/my-child-hates-reading-what-to-do/,my-child-hates-reading-what-to-do,80,my-child-hates-reading-what-to-do,https://www.braveheartspublishing.com/blog/my-child-hates-reading-what-to-do/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
How to Pick a Read-Aloud Book That Keeps a Whole Class Listening,https://www.braveheartspublishing.com/blog/how-to-pick-a-read-aloud-book/,/blog/how-to-pick-a-read-aloud-book/,how-to-pick-a-read-aloud-book,70,how-to-pick-a-read-aloud-book,https://www.braveheartspublishing.com/blog/how-to-pick-a-read-aloud-book/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
Reading Level Chart by Grade: What Level Should My Child Be At??,https://www.braveheartspublishing.com/blog/reading-level-by-grade-chart/,/blog/reading-level-by-grade-chart/,reading-level-by-grade-chart,82,reading-level-by-grade-chart,https://www.braveheartspublishing.com/blog/reading-level-by-grade-chart/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
What Is the Mariana Trench? Everything Kids (and Parents) Need to Know,https://www.braveheartspublishing.com/blog/what-is-the-mariana-trench-for-kids/,/blog/what-is-the-mariana-trench-for-kids/,what-is-the-mariana-trench-for-kids,94,what-is-the-mariana-trench-for-kids,https://www.braveheartspublishing.com/blog/what-is-the-mariana-trench-for-kids/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
The Best Read Aloud Books for Elementary Classrooms (Grades 1–3),https://www.braveheartspublishing.com/blog/best-read-aloud-books-for-classroom-grades-1-3/,/blog/best-read-aloud-books-for-classroom-grades-1-3/,best-read-aloud-books-for-classroom-grades-1-3,36,best-read-aloud-books-for-classroom-grades-1-3,https://www.braveheartspublishing.com/blog/best-read-aloud-books-for-classroom-grades-1-3/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
My Child Got a Lexile Score — Now What? Here’s Exactly What to Do,https://www.braveheartspublishing.com/blog/my-child-got-a-lexile-score-now-what/,/blog/my-child-got-a-lexile-score-now-what/,my-child-got-a-lexile-score-now-what,78,my-child-got-a-lexile-score-now-what,https://www.braveheartspublishing.com/blog/my-child-got-a-lexile-score-now-what/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
To Every Teacher Who Said Yes: Happy Teacher Appreciation Week,https://www.braveheartspublishing.com/blog/teacher-appreciation-week-thank-you/,/blog/teacher-appreciation-week-thank-you/,teacher-appreciation-week-thank-you,86,teacher-appreciation-week-thank-you,https://www.braveheartspublishing.com/blog/teacher-appreciation-week-thank-you/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
What Is a Lexile Score? A Parent’s Guide to Reading Levels,https://www.braveheartspublishing.com/blog/what-is-a-lexile-score/,/blog/what-is-a-lexile-score/,what-is-a-lexile-score,92,what-is-a-lexile-score,https://www.braveheartspublishing.com/blog/what-is-a-lexile-score/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
Top Bridge Books for Kids — Best Picks for Growing Readers,https://www.braveheartspublishing.com/blog/top-bridge-books-for-kids/,/blog/top-bridge-books-for-kids/,top-bridge-books-for-kids,88,top-bridge-books-for-kids,https://www.braveheartspublishing.com/blog/top-bridge-books-for-kids/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
The Complete Guide to Bridge Books for Kids (Ages 6-9),https://www.braveheartspublishing.com/blog/bridge-books-for-kids/,/blog/bridge-books-for-kids/,bridge-books-for-kids,50,bridge-books-for-kids,https://www.braveheartspublishing.com/blog/bridge-books-for-kids/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
Best Books About the Ocean for Kids Ages 6-9,https://www.braveheartspublishing.com/blog/best-ocean-books-for-kids-ages-6-9/,/blog/best-ocean-books-for-kids-ages-6-9/,best-ocean-books-for-kids-ages-6-9,34,best-ocean-books-for-kids-ages-6-9,https://www.braveheartspublishing.com/blog/best-ocean-books-for-kids-ages-6-9/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
Mariana Trench Facts for Kids — The Deepest Place on Earth,https://www.braveheartspublishing.com/blog/mariana-trench-facts-for-kids/,/blog/mariana-trench-facts-for-kids/,mariana-trench-facts-for-kids,74,mariana-trench-facts-for-kids,https://www.braveheartspublishing.com/blog/mariana-trench-facts-for-kids/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
My Kid Hates Long Books. Bridge Books Fixed That.,https://www.braveheartspublishing.com/blog/what-are-bridge-books-guide-for-parents-and-teachers/,/blog/what-are-bridge-books-guide-for-parents-and-teachers/,what-are-bridge-books-guide-for-parents-and-teachers,90,what-are-bridge-books-guide-for-parents-and-teachers,https://www.braveheartspublishing.com/blog/what-are-bridge-books-guide-for-parents-and-teachers/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
How to Help Your Child Transition from Picture Books to Chapter Books,https://www.braveheartspublishing.com/blog/bridge-books-for-early-readers/,/blog/bridge-books-for-early-readers/,bridge-books-for-early-readers,48,bridge-books-for-early-readers,https://www.braveheartspublishing.com/blog/bridge-books-for-early-readers/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
What Comes After Picture Books? Discover Bridge Books for Growing Readers,https://www.braveheartspublishing.com/blog/bridge-books-for-kids-mount-everest/,/blog/bridge-books-for-kids-mount-everest/,bridge-books-for-kids-mount-everest,52,bridge-books-for-kids-mount-everest,https://www.braveheartspublishing.com/blog/bridge-books-for-kids-mount-everest/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
Best Early Chapter Books for 6 Year Olds,https://www.braveheartspublishing.com/blog/best-early-chapter-books-for-6-year-olds/,/blog/best-early-chapter-books-for-6-year-olds/,best-early-chapter-books-for-6-year-olds,32,best-early-chapter-books-for-6-year-olds,https://www.braveheartspublishing.com/blog/best-early-chapter-books-for-6-year-olds/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
Free Teacher’s Guide Is Here — And It’s Ready for Your Classroom,https://www.braveheartspublishing.com/blog/free-teachers-guide-mariana-trench/,/blog/free-teachers-guide-mariana-trench/,free-teachers-guide-mariana-trench,62,free-teachers-guide-mariana-trench,https://www.braveheartspublishing.com/blog/free-teachers-guide-mariana-trench/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
The First Real Chapter Book: Helping Kids Transition From Early Readers,https://www.braveheartspublishing.com/blog/first-real-chapter-book-for-kids/,/blog/first-real-chapter-book-for-kids/,first-real-chapter-book-for-kids,60,first-real-chapter-book-for-kids,https://www.braveheartspublishing.com/blog/first-real-chapter-book-for-kids/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
Bridge Books: The Perfect Next Step After Frog and Toad,https://www.braveheartspublishing.com/blog/best-bridge-books-for-kids/,/blog/best-bridge-books-for-kids/,best-bridge-books-for-kids,30,best-bridge-books-for-kids,https://www.braveheartspublishing.com/blog/best-bridge-books-for-kids/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
How Deep Is the Mariana Trench? (Explained for Kids),https://www.braveheartspublishing.com/blog/how-deep-is-the-mariana-trench-for-kids/,/blog/how-deep-is-the-mariana-trench-for-kids/,how-deep-is-the-mariana-trench-for-kids,66,how-deep-is-the-mariana-trench-for-kids,https://www.braveheartspublishing.com/blog/how-deep-is-the-mariana-trench-for-kids/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
Why Adventure Books for Kids (Ages 6–9) Build Confidence and Curiosity,https://www.braveheartspublishing.com/blog/adventure-books-for-kids-ages-6-9/,/blog/adventure-books-for-kids-ages-6-9/,adventure-books-for-kids-ages-6-9,26,adventure-books-for-kids-ages-6-9,https://www.braveheartspublishing.com/blog/adventure-books-for-kids-ages-6-9/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
How Stories Help Children Build Resilience and Courage (Ages 6–9),https://www.braveheartspublishing.com/blog/how-stories-build-resilience-in-children/,/blog/how-stories-build-resilience-in-children/,how-stories-build-resilience-in-children,68,how-stories-build-resilience-in-children,https://www.braveheartspublishing.com/blog/how-stories-build-resilience-in-children/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
"Why STEM Storytelling Builds Braver, More Curious Kids (Ages 6–9)",https://www.braveheartspublishing.com/blog/why-stem-storytelling-builds-braver-kids/,/blog/why-stem-storytelling-builds-braver-kids/,why-stem-storytelling-builds-braver-kids,100,why-stem-storytelling-builds-braver-kids,https://www.braveheartspublishing.com/blog/why-stem-storytelling-builds-braver-kids/,EXACT_MATCH,No redirect required after /blog/%postname%/ is applied
