Post Title,Old URL,New URL,Match Confirmed,URL Status,Redirect Required,Review Required,Notes
For the Kid Who Always Asks Why: Science Books That Feel Like Real Adventures,https://www.braveheartspublishing.com/blog/science-books-for-kids-that-feel-like-adventures,https://www.braveheartspublishing.com/science-books-for-kids-that-feel-like-adventures/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
From Dog Man to Magic Tree House: The Reading Roadmap No One Gave You,https://www.braveheartspublishing.com/blog/dog-man-to-magic-tree-house-reading-roadmap,https://www.braveheartspublishing.com/dog-man-to-magic-tree-house-reading-roadmap/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
Adventures of Charlotte & Henry Just Got a Kirkus Review. Here’s What They Said.,https://www.braveheartspublishing.com/blog/kirkus-review-adventures-of-charlotte-and-henry,https://www.braveheartspublishing.com/kirkus-review-adventures-of-charlotte-and-henry/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
What to Read After Dog Man: Bridge Books for Kids Who Love Graphic Novels,https://www.braveheartspublishing.com/blog/what-to-read-after-dog-man,https://www.braveheartspublishing.com/what-to-read-after-dog-man/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
The Best Books for 7-Year-Olds That Turn Them Into Readers,https://www.braveheartspublishing.com/blog/best-books-for-7-year-olds,https://www.braveheartspublishing.com/best-books-for-7-year-olds/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
The Best Summer Reading Books for Kids Ages 6–9 (That They’ll Actually Finish),https://www.braveheartspublishing.com/blog/best-summer-reading-books-for-kids-ages-6-9,https://www.braveheartspublishing.com/best-summer-reading-books-for-kids-ages-6-9/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
8 Books Like Magic Tree House Your Kids Will Love Just as Much,https://www.braveheartspublishing.com/blog/books-like-magic-tree-house,https://www.braveheartspublishing.com/books-like-magic-tree-house/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
The Gap Between Picture Books and Chapter Books Is Real — Here’s What Goes There,https://www.braveheartspublishing.com/blog/gap-between-picture-books-and-chapter-books,https://www.braveheartspublishing.com/gap-between-picture-books-and-chapter-books/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
Charlotte Is Real. Henry Is Real. And This Is Why I Wrote Them a Book.,https://www.braveheartspublishing.com/blog/why-i-wrote-this-book,https://www.braveheartspublishing.com/why-i-wrote-this-book/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
I Spent Two Years Picking the Wrong Books for Kids. Then I Found their Lexile Scores.,https://www.braveheartspublishing.com/blog/finding-right-books-with-lexile-score,https://www.braveheartspublishing.com/finding-right-books-with-lexile-score/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
10 Mount Everest Facts for Kids That Will Make Their Jaw Drop,https://www.braveheartspublishing.com/blog/mount-everest-facts-for-kids,https://www.braveheartspublishing.com/mount-everest-facts-for-kids/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
Bridge Books for Struggling Readers: The Parent’s Complete Roadmap,https://www.braveheartspublishing.com/blog/bridge-books-for-struggling-readers,https://www.braveheartspublishing.com/bridge-books-for-struggling-readers/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
My Child Hates Reading: What Actually Works,https://www.braveheartspublishing.com/blog/my-child-hates-reading-what-to-do,https://www.braveheartspublishing.com/my-child-hates-reading-what-to-do/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
How to Pick a Read-Aloud Book That Keeps a Whole Class Listening,https://www.braveheartspublishing.com/blog/how-to-pick-a-read-aloud-book,https://www.braveheartspublishing.com/how-to-pick-a-read-aloud-book/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
Reading Level Chart by Grade: What Level Should My Child Be At??,https://www.braveheartspublishing.com/blog/reading-level-by-grade-chart,https://www.braveheartspublishing.com/reading-level-by-grade-chart/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
What Is the Mariana Trench? Everything Kids (and Parents) Need to Know,https://www.braveheartspublishing.com/blog/what-is-the-mariana-trench-for-kids,https://www.braveheartspublishing.com/what-is-the-mariana-trench-for-kids/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
The Best Read Aloud Books for Elementary Classrooms (Grades 1–3),https://www.braveheartspublishing.com/blog/best-read-aloud-books-for-classroom-grades-1-3,https://www.braveheartspublishing.com/best-read-aloud-books-for-classroom-grades-1-3/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
My Child Got a Lexile Score — Now What? Here’s Exactly What to Do,https://www.braveheartspublishing.com/blog/my-child-got-a-lexile-score-now-what,https://www.braveheartspublishing.com/my-child-got-a-lexile-score-now-what/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
To Every Teacher Who Said Yes: Happy Teacher Appreciation Week,https://www.braveheartspublishing.com/blog/teacher-appreciation-week-thank-you,https://www.braveheartspublishing.com/teacher-appreciation-week-thank-you/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
What Is a Lexile Score? A Parent’s Guide to Reading Levels,https://www.braveheartspublishing.com/blog/what-is-a-lexile-score,https://www.braveheartspublishing.com/what-is-a-lexile-score/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
Top Bridge Books for Kids — Best Picks for Growing Readers,https://www.braveheartspublishing.com/blog/top-bridge-books-for-kids,https://www.braveheartspublishing.com/top-bridge-books-for-kids/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
The Complete Guide to Bridge Books for Kids (Ages 6-9),https://www.braveheartspublishing.com/blog/bridge-books-for-kids,https://www.braveheartspublishing.com/bridge-books-for-kids/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
Best Books About the Ocean for Kids Ages 6-9,https://www.braveheartspublishing.com/blog/best-ocean-books-for-kids-ages-6-9,https://www.braveheartspublishing.com/best-ocean-books-for-kids-ages-6-9/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
Mariana Trench Facts for Kids — The Deepest Place on Earth,https://www.braveheartspublishing.com/blog/mariana-trench-facts-for-kids,https://www.braveheartspublishing.com/mariana-trench-facts-for-kids/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
My Kid Hates Long Books. Bridge Books Fixed That.,https://www.braveheartspublishing.com/blog/what-are-bridge-books-guide-for-parents-and-teachers,https://www.braveheartspublishing.com/what-are-bridge-books-guide-for-parents-and-teachers/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
How to Help Your Child Transition from Picture Books to Chapter Books,https://www.braveheartspublishing.com/blog/bridge-books-for-early-readers,https://www.braveheartspublishing.com/bridge-books-for-early-readers/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
What Comes After Picture Books? Discover Bridge Books for Growing Readers,https://www.braveheartspublishing.com/blog/bridge-books-for-kids-mount-everest,https://www.braveheartspublishing.com/bridge-books-for-kids-mount-everest/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
Best Early Chapter Books for 6 Year Olds,https://www.braveheartspublishing.com/blog/best-early-chapter-books-for-6-year-olds,https://www.braveheartspublishing.com/best-early-chapter-books-for-6-year-olds/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
Free Teacher’s Guide Is Here — And It’s Ready for Your Classroom,https://www.braveheartspublishing.com/blog/free-teachers-guide-mariana-trench,https://www.braveheartspublishing.com/free-teachers-guide-mariana-trench/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
The First Real Chapter Book: Helping Kids Transition From Early Readers,https://www.braveheartspublishing.com/blog/first-real-chapter-book-for-kids,https://www.braveheartspublishing.com/first-real-chapter-book-for-kids/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
Bridge Books: The Perfect Next Step After Frog and Toad,https://www.braveheartspublishing.com/blog/best-bridge-books-for-kids,https://www.braveheartspublishing.com/best-bridge-books-for-kids/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
How Deep Is the Mariana Trench? (Explained for Kids),https://www.braveheartspublishing.com/blog/how-deep-is-the-mariana-trench-for-kids,https://www.braveheartspublishing.com/how-deep-is-the-mariana-trench-for-kids/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
Why Adventure Books for Kids (Ages 6–9) Build Confidence and Curiosity,https://www.braveheartspublishing.com/blog/adventure-books-for-kids-ages-6-9,https://www.braveheartspublishing.com/adventure-books-for-kids-ages-6-9/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
How Stories Help Children Build Resilience and Courage (Ages 6–9),https://www.braveheartspublishing.com/blog/how-stories-build-resilience-in-children,https://www.braveheartspublishing.com/how-stories-build-resilience-in-children/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
"Why STEM Storytelling Builds Braver, More Curious Kids (Ages 6–9)",https://www.braveheartspublishing.com/blog/why-stem-storytelling-builds-braver-kids,https://www.braveheartspublishing.com/why-stem-storytelling-builds-braver-kids/,yes,changed: /blog/{slug} to /{slug},yes,no,Direct post-to-post mapping; never mapped to a hub
