old_url,issue,recommended_action,review_required
https://images.squarespace-cdn.com/content/v1/69a4852e7db0bc7e34bc3354/3e53f823-cbcb-4d24-a614-330be2720b3a/Call+out+-+600+px_upscayl_3x_upscayl-standard-4x.png,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Reluctant+Readers,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/science+for+kids,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Early+Readers,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Reading+Tips+for+Parents,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Adventure+Book+Recommendations,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Ocean+Science,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Bridge+Books,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Author+Life,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/The+Mariana+Trench,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Reading+Development,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Reading+Lists,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Read+alouds,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Age-Specific+Reading+Lists,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Summer+Reading,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Teacher+Resources,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/children%27s+books,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Adventure,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Classroom+Resources,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Reading+Tips,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Book+recommendations,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/STEM,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Reading+Levels+%26+Lexile,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Reading+Help+for+Parents,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Book+News,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Books+for+Kids,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/category/Ages+6-9,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Read+aloud+books,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/early+readers+ages+6-9,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Deep+sea,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/marine+science,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Mariana+Trench,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/bridge+books,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/reading+level,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/reading+help+ages+6-9,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/books+for+first+graders,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/reading+help+for+parents,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Bridge+Books,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/summer+books+for+kids,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/picture+books+to+chapter+books,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Summer+Reading+List,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Adventures+of+Charlotte+and+Henry,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Lexile+score,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/geography+for+kids,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Summer+Reading,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/sea+books+for+kids,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/elementary+teacher,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/ages+6-9,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/bridge+books+for+kids,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/reading+confidence,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Reading+Tips,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Andrew+Signore,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Children%27s+Book+Author,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/read+aloud+for+kids,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/reading+motivation,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/reading+development,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/facts+for+kids,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/read+aloud,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/kids+who+love+graphic+novels,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/struggling+readers,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/best+read+aloud+books,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/best+kids+books,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/summer+slide,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/7+year+old+books,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Kids+reading+level,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/next+step+after+graphic+novels,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Ages+6-9,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/funny+books+for+kids,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/reading+progression+kids,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/science+books+for+kids,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/classroom+resources,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/kids+science,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/reluctant+readers,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/books+for+7+year+olds,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/graphic+novels+for+kids,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/kids+books+age+7,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Brave+Hearts+Publishing,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Kirkus+Review,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/early+chapter+books,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/reading+levels+chart,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/kids+reading+help,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/lexile+explained,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Why+I+wrote+this+book,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/best+books+for+7+year+olds,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/how+to+use+lexile+score,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/find+books+by+lexile+level,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/books+for+second+graders,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/lexile+score+by+grade+level,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/reading+roadmap,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/bridge+books+from+graphic+novels,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/kids+books,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/elementary+classroom,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/chapter+books+for+kids,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/chapter+books+for+beginners,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/magic+tree+house+alternatives,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/gap+between+picture+books+and+chapter+books,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Ocean+Facts,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/classroom+read+aloud,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/science+books+for+8+year+olds,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/stem+books,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/books+like+dog+man,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/ocean+books+for+kids,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Early+Readers,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/Origin+Story,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
https://www.braveheartspublishing.com/blog/tag/reading+list+for+kids,No unambiguous relevant replacement,Review traffic/backlinks; retain or retire 404/410,yes
